0,2023/01/03,"15,311,364","6,871,973,708",446.00,453.50,443.00,453.00,+4.50,"22,581"
1,2023/01/04,"20,626,874","9,310,050,329",449.50,455.00,448.50,449.50,-3.50,"18,233"
2,2023/01/05,"23,972,099","10,972,616,269",459.00,459.50,455.00,458.50,+9.00,"20,752"
3,2023/01/06,"21,313,593","9,745,142,549",455.00,459.50,455.00,458.50, 0.00,"16,635"
4,2023/01/09,"49,186,355","23,352,375,299",468.00,481.00,467.50,481.00,+22.50,"57,305"
5,2023/01/10,"34,785,370","16,867,391,241",486.00,487.00,483.00,486.00,+5.00,"36,975"
6,2023/01/11,"21,749,124","10,531,314,878",487.00,488.00,482.00,484.50,-1.50,"25,457"
7,2023/01/12,"22,416,984","10,901,640,739",487.50,488.00,484.00,486.50,+2.00,"25,780"
8,2023/01/13,"81,848,755","41,113,175,651",507.00,509.00,499.00,500.00,+13.50,"93,121"
9,2023/01/16,"38,781,925","19,573,968,332",506.00,508.00,503.00,505.00,+5.00,"48,051"
10,2023/01/17,"29,443,522","14,784,661,794",504.00,504.00,499.50,503.00,-2.00,"27,930"
11,2023/01/30,"148,413,161","80,057,158,264",542.00,543.00,534.00,543.00,+40.00,"153,125"
12,2023/01/31,"79,212,272","41,736,937,234",537.00,538.00,521.00,522.00,-21.00,"74,279"
0,2023/02/01,"42,539,626","22,450,948,467",532.00,533.00,522.00,530.00,+8.00,"31,487"
1,2023/02/02,"46,523,592","25,091,483,557",538.00,542.00,537.00,540.00,+10.00,"45,495"
2,2023/02/03,"34,156,234","18,439,613,447",540.00,542.00,536.00,542.00,+2.00,"39,674"
3,2023/02/06,"32,208,918","17,041,821,849",532.00,533.00,526.00,526.00,-16.00,"46,279"
4,2023/02/07,"24,362,116","12,767,910,080",524.00,528.00,522.00,523.00,-3.00,"28,519"
5,2023/02/08,"37,633,169","20,247,927,642",538.00,540.00,534.00,540.00,+17.00,"43,495"
6,2023/02/09,"22,311,345","12,026,317,167",540.00,540.00,536.00,540.00, 0.00,"19,698"
7,2023/02/10,"30,445,088","16,545,221,176",544.00,546.00,541.00,545.00,+5.00,"40,984"
8,2023/02/13,"23,903,151","12,921,896,752",544.00,544.00,538.00,541.00,-4.00,"22,431"
9,2023/02/14,"23,855,974","12,990,943,260",544.00,546.00,543.00,545.00,+4.00,"27,983"
10,2023/02/15,"66,068,713","34,751,111,404",526.00,532.00,522.00,525.00,-20.00,"103,433"
11,2023/02/16,"33,509,968","17,692,691,883",528.00,531.00,524.00,528.00,+3.00,"27,033"
12,2023/02/17,"29,673,053","15,385,668,299",524.00,524.00,516.00,518.00,-10.00,"55,965"
13,2023/02/20,"21,181,235","10,928,087,780",514.00,519.00,511.00,517.00,-1.00,"25,898"
14,2023/02/21,"15,097,509","7,771,141,142",515.00,517.00,513.00,516.00,-1.00,"27,200"
15,2023/02/22,"26,578,867","13,474,662,693",506.00,509.00,505.00,507.00,-9.00,"47,843"
16,2023/02/23,"26,801,677","13,846,782,345",512.00,521.00,510.00,518.00,+11.00,"26,552"
17,2023/02/24,"48,372,303","24,932,422,713",524.00,525.00,511.00,511.00,-7.00,"29,612"
0,2023/03/01,"45,971,058","23,624,972,884",504.00,522.00,504.00,522.00,+11.00,"31,738"
1,2023/03/02,"18,017,085","9,344,352,321",519.00,520.00,515.00,519.00,-3.00,"14,320"
2,2023/03/03,"24,117,189","12,510,608,773",524.00,525.00,516.00,516.00,-3.00,"22,160"
